name;adresse;lon;lat;telephone;horaires;facebook
Pharmacie du Centre;5 Avenue de Verdun;44.84139;-0.7767;05 56 21 42 20;;https://www.facebook.com/pharmacieducentremartignas33
Pharmacie des Portes Océanes;8 B Avenue Colonel Pierre Bourgoin;44.84197;-0.76892;05 56 21 41 15;;https://www.facebook.com/Pharmacie-des-Portes-Oc%C3%A9anes-1512454335743550
